player_id,full_name,recent_team,season,week,pass_comp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rec,rec_yds,position,headshot_url,scrim_yds
00-0036970,Kyle Pitts,ATL,2022,1,0,0,0,0,0,0,0,2,19,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a7cd9grdzdnocrreecja",19
00-0036971,Trevor Lawrence,JAX,2022,1,24,42,275,1,1,2,4,0,0,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nel2x2crpaasltsb6vwj",4
00-0036972,Mac Jones,NE,2022,1,21,30,213,1,1,1,2,0,0,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hhexcwf5oe7onhlemzq9",2
00-0036973,Travis Etienne,JAX,2022,1,0,0,0,0,0,4,47,2,18,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/d8xhoicgjybtyvttcxhu",65
00-0036980,Elijah Moore,NYJ,2022,1,0,0,0,0,0,0,0,5,49,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i9dejsp00evr6l5gyijh",49
00-0036988,Josh Palmer,LAC,2022,1,0,0,0,0,0,1,4,3,5,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jwagrm3bpslarha2w5db",9
00-0036997,Javonte Williams,DEN,2022,1,0,0,0,0,0,7,43,11,65,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxqhhqj4n9dh6s5z2zlx",108
00-0036999,Anthony Schwartz,CLE,2022,1,0,0,0,0,0,2,20,1,19,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/d3fevlbhovuxq07tivu9",39
00-0037005,Tommy Tremble,CAR,2022,1,0,0,0,0,0,0,0,1,1,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vpqlvxfayuc7fprrywd1",1
00-0037011,Tre McKitty,LAC,2022,1,0,0,0,0,0,0,0,3,24,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xtswy0ttye0zttnzxgbr",24
00-0037012,Trey Lance,SF,2022,1,13,28,164,0,1,13,54,0,0,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q4iahwof4dq9xf3vqdcb",54
00-0037168,Armani Rogers,WAS,2022,1,0,0,0,0,0,0,0,1,23,TE,NA,23
00-0037197,Isiah Pacheco,KC,2022,1,0,0,0,0,0,12,62,0,0,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s9suhdxobh0p5nbwxq8t",62
00-0037228,Jaylen Warren,PIT,2022,1,0,0,0,0,0,3,7,0,0,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q6zstqy99al3sghrufey",7
00-0037238,Drake London,ATL,2022,1,0,0,0,0,0,0,0,5,74,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rrwzcsvsfqq9xptp8o48",74
00-0037239,Chris Olave,NO,2022,1,0,0,0,0,0,0,0,3,41,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fh4mzrgbiqemhomzpukt",41
00-0037247,George Pickens,PIT,2022,1,0,0,0,0,0,0,0,1,3,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/weaecvrxrfflsqm8kvpt",3
00-0037248,James Cook,BUF,2022,1,0,0,0,0,0,1,2,0,0,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hh0bnf0lr6lzwyceorwj",2
00-0037256,Rachaad White,TB,2022,1,0,0,0,0,0,6,14,2,7,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hls9krnjkudneprlkqxh",21
