week,year,Pos,Team,H.A,Oppt,DKP,DKSalary,player
17,2014,TE,JAX,a,HOU,0,3000,Nic Jacobs
17,2014,TE,SDG,a,KC,0,3000,John Phillips
17,2014,TE,DAL,a,WAS,0,3000,Gavin Escobar
17,2014,TE,DET,a,GB,0,3000,Brandon Pettigrew
17,2014,TE,MIN,h,CHI,0,3000,Chase Ford
17,2014,TE,KC,h,SDG,0,3000,Anthony Fasano
17,2014,TE,NYJ,a,MIA,0,3000,Chris Pantale
17,2014,TE,SDG,a,KC,0,3000,Ladarius Green
17,2014,TE,CLE,a,BAL,0,3000,Gary Barnidge
17,2014,TE,GB,h,DET,0,3000,Brandon Bostick
17,2014,TE,DEN,h,LV,0,3000,Jacob Tamme
17,2014,TE,NE,h,BUF,0,3000,Michael Hoomanawanui
17,2014,TE,KC,h,SDG,0,3000,Richard Gordon
17,2014,TE,NO,a,TB,0,3000,Josh Hill
17,2014,TE,TB,h,NO,0,3000,Luke Stocker
17,2014,TE,STL,a,SEA,0,3000,Cory Harkey
17,2014,TE,CLE,a,BAL,0,3000,Jim Dray
17,2014,TE,CAR,a,ATL,0,3000,Brandon Williams
17,2014,TE,NYG,h,PHI,0,3000,Adrien Robinson
17,2014,TE,SF,h,ARI,0,3000,Asante Cleveland
17,2014,TE,GB,h,DET,0,3000,Andrew Quarless
17,2014,TE,SDG,a,KC,0,3000,David Johnson
17,2014,TE,TB,h,NO,0,3000,Cameron Brate
17,2014,TE,JAX,a,HOU,0,3000,Clay Harbor
17,2014,TE,TEN,h,IND,0,3000,Chase Coffman
17,2014,TE,HOU,h,JAX,0,3000,CJ Fiedorowicz
17,2014,Def,CAR,a,ATL,31,3000,Panthers DST
17,2014,Def,SEA,h,STL,21,3600,Seahawks DST
17,2014,Def,DAL,a,WAS,18,2800,Cowboys DST
17,2014,Def,DEN,h,LV,17,3500,Broncos DST
17,2014,Def,KC,h,SDG,17,2700,Chiefs DST
17,2014,Def,PIT,h,CIN,16,2800,Steelers DST
17,2014,Def,JAX,a,HOU,13,2500,Jaguars DST
17,2014,Def,GB,h,DET,13,3100,Packers DST
17,2014,Def,BAL,h,CLE,12,3300,Ravens DST
17,2014,Def,HOU,h,JAX,11,3200,Texans DST
17,2014,Def,STL,a,SEA,11,3200,NA
17,2014,Def,PHI,a,NYG,10,3000,Eagles DST
17,2014,Def,IND,a,TEN,10,3100,Colts DST
17,2014,Def,NYJ,a,MIA,9,2300,Jets DST
17,2014,Def,SF,h,ARI,9,3200,49ers DST
17,2014,Def,CHI,a,MIN,9,2700,Bears DST
17,2014,Def,BUF,a,NE,8,2800,Bills DST
17,2014,Def,TB,h,NO,8,2200,Buccaneers DST
17,2014,Def,NO,a,TB,8,2400,Saints DST
17,2014,Def,CIN,a,PIT,7,2500,Bengals DST
17,2014,Def,DET,a,GB,7,3100,Lions DST
17,2014,Def,MIN,h,CHI,6,2900,Vikings DST
17,2014,Def,NYG,h,PHI,6,3000,Giants DST
17,2014,Def,LV,a,DEN,5,2100,NA
17,2014,Def,NE,h,BUF,5,3300,Patriots DST
17,2014,Def,SDG,a,KC,5,2900,NA
17,2014,Def,CLE,a,BAL,2,2900,Browns DST
17,2014,Def,ATL,h,CAR,2,2600,Falcons DST
17,2014,Def,ARI,a,SF,2,3100,Cardinals DST
17,2014,Def,TEN,h,IND,1,2300,Titans DST
17,2014,Def,MIA,h,NYJ,-1,3100,Dolphins DST
17,2014,Def,WAS,h,DAL,-1,2300,Football Team
17,2014,QB,NYJ,a,MIA,30.12,5000,Geno Smith
17,2014,QB,WAS,h,DAL,25.34,5700,Robert Griffin
17,2014,QB,GB,h,DET,24.44,8600,Aaron Rodgers
17,2014,QB,BAL,h,CLE,23.58,6200,Joe Flacco
17,2014,QB,NYG,h,PHI,23.16,7100,Eli Manning
17,2014,QB,DET,a,GB,22.58,6800,Matthew Stafford
17,2014,QB,SF,h,ARI,22.46,6300,Colin Kaepernick
17,2014,QB,PIT,h,CIN,21.98,7300,Ben Roethlisberger
17,2014,QB,PHI,a,NYG,20.88,6700,Mark Sanchez
17,2014,QB,ARI,a,SF,20.64,5000,Ryan Lindley
17,2014,QB,CAR,a,ATL,19.66,7500,Cam Newton
17,2014,QB,DAL,a,WAS,18.96,8000,Tony Romo
17,2014,QB,HOU,h,JAX,17.6,5000,Case Keenum
17,2014,QB,CIN,a,PIT,16.56,6000,Andy Dalton
17,2014,QB,IND,a,TEN,14.9,8700,Andrew Luck
17,2014,QB,MIA,h,NYJ,13.36,7200,Ryan Tannehill
17,2014,QB,MIN,h,CHI,13.16,5900,Teddy Bridgewater
17,2014,QB,NO,a,TB,13.14,8400,Drew Brees
17,2014,QB,CHI,a,MIN,10.78,7400,Jay Cutler
17,2014,QB,JAX,a,HOU,10.78,5000,Blake Bortles
17,2014,QB,BUF,a,NE,9.74,5900,Kyle Orton
17,2014,QB,DEN,h,LV,9.42,8600,Peyton Manning
17,2014,QB,IND,a,TEN,9.4,5000,Matt Hasselbeck
17,2014,QB,SEA,h,STL,9.26,7500,Russell Wilson
17,2014,QB,ATL,h,CAR,9,7700,Matt Ryan
17,2014,QB,LV,a,DEN,8.92,5300,Derek Carr
17,2014,QB,SDG,a,KC,8.84,7300,Philip Rivers
17,2014,QB,TEN,h,IND,8.78,5300,Charlie Whitehurst
17,2014,QB,TB,h,NO,8.2,5200,Josh McCown
17,2014,QB,KC,h,SDG,7.88,5000,Chase Daniel
17,2014,QB,STL,a,SEA,7.72,5200,Shaun Hill
17,2014,QB,CLE,a,BAL,5.98,0,Connor Shaw
17,2014,QB,DEN,h,LV,5.46,5000,Brock Osweiler
17,2014,QB,NE,h,BUF,5.2,5000,Jimmy Garoppolo
17,2014,QB,NE,h,BUF,4.1,7800,Tom Brady
17,2014,QB,GB,h,DET,0.24,5000,Matt Flynn
17,2014,QB,TEN,h,IND,0.18,17,Jordan Palmer
17,2014,QB,LV,a,DEN,0,5000,Matt Schaub
17,2014,QB,NO,a,TB,0,5000,Luke McCown
17,2014,QB,CAR,a,ATL,0,5000,Joe Webb
17,2014,QB,NYJ,a,MIA,0,5000,Michael Vick
17,2014,QB,DAL,a,WAS,0,5000,Brandon Weeden
17,2014,RB,DEN,h,LV,30.7,7000,CJ Anderson
17,2014,RB,MIA,h,NYJ,26.8,5000,Lamar Miller
